x7.944753771661239; y-8.29001891598969; r463.5456177809322; vx0.8814584819682789; vy-0.10362688118098973; vr7.106270188919439;
x8.436168379988455; y-8.237709275907802; r467.181057134642; vx0.8060212878535644; vy0.04245698999089775; vr5.962040243245781;
x8.836643894336225; y-8.189642775860035; r470.66794733751004; vx0.44606024585955595; vy-0.04298143005006949; vr7.142403766150892;
x9.387532090685406; y-8.104985346776035; r474.72494509225754; vx0.749115019571498; vy0.32473280137518046; vr6.443821273002754;
x9.84699436276182; y-7.95903725948776; r478.28811729150385; vx0.5116113237746944; vy0.15090790479357707; vr4.488593260571633;
x10.408479372337666; y-7.786961660123844; r482.8469702855819; vx0.6567542180767774; vy0.2645087741927057; vr4.3440589516446835;
x10.816369105892958; y-7.581327987944379; r486.0467992915529; vx0.662437908719502; vy0.3601027137093693; vr5.650889994861075;
x11.16472141572151; y-7.443641531045086; r489.1623166173164; vx0.45074176066317584; vy0.15377754561717083; vr4.928218450224904;
x11.616921142030785; y-7.15922932384518; r492.7656372357091; vx0.5673615590419274; vy0.4154792392609572; vr4.29588084866873;
x12.024155658158763; y-6.915693765526767; r496.9029318287494; vx0.46509014874276744; vy0.2752956903151187; vr4.0710497014483735;
x12.421707382689217; y-6.637181975394773; r500.28744356279407; vx0.49303891921327647; vy0.40190019737666915; vr4.552830731206313;
x12.707678498910086; y-6.416872759486279; r503.4411018867467; vx0.3148845858068583; vy0.2371579001611792; vr4.215584010376006;
x13.022953227341892; y-6.080249942178979; r506.5746860011261; vx0.3708596991021835; vy0.44179255100148396; vr3.9104560248631515;
x13.406115735928053; y-5.636362647585758; r511.4607486112474; vx0.3311209489127691; vy0.4430691622399543; vr3.934545076350787;
x13.81397525210116; y-5.130069195807659; r516.5395236332716; vx0.6369312894103878; vy1.4971896966573688; vr12.154933896583088;
x14.111326525624163; y-4.663930827940247; r520.6045510718484; vx0.18746846880060275; vy1.1351623701013303; vr5.1389976507439314;
x14.273204818944704; y-4.309486141738279; r523.6618531898496; vx0.17690703596012014; vy0.404621801596285; vr3.9827231793269675;
x14.49171202718607; y-3.8282093464679128; r527.5984056871578; vx0.1865913444042988; vy0.4954144182366864; vr3.8140998189119273;
x14.650738255255462; y-3.422429469993756; r530.7279749596224; vx0.17923566935024127; vy0.49356851446202477; vr3.8943966572041973;
x14.822210580694374; y-2.9721918303298596; r534.7187278227783; vx0.07841789829296175; vy0.7557051622871658; vr4.191494958887688;
x14.917652769628539; y-2.6038313916519824; r537.6154362641937; vx0.1426057542445669; vy0.37422493910688415; vr4.596993992266789;
x14.99758013892303; y-2.084560346044545; r541.7165972800024; vx0.0990817285378256; vy0.5940358492941886; vr3.661535826155159;
x15.073464043434356; y-1.6959532246930678; r544.615313142375; vx0.0317816537475224; vy0.5169591260852169; vr3.950604444009059;
x15.103432569080486; y-1.186776682948023; r549.037661511355; vx-0.26005984110408775; vy0.9229954846449573; vr4.745543143108534;
x15.119430000984586; y-0.7805045914554705; r551.9504293204291; vx0.01107624551903541; vy0.39396593926045975; vr3.886366973375061;
x15.056926925853658; y-0.267205106547997; r555.8508482405053; vx-0.07108457139024438; vy0.44634695844767713; vr2.7642186582319255;
x14.9903889211813; y0.36711783088589; r561.2407735109146; vx-0.04452970221267094; vy0.3610458633579072; vr3.942574760179923;
x14.831600570498107; y0.9953724584025204; r566.034494756999; vx-0.11429780956211033; vy0.582516227038727; vr4.263762113351277;
x14.699527400417265; y1.4528440225879073; r570.1095593003624; vx-0.17154760078504694; vy0.5730372444608971; vr4.0148419146439664;
x14.434217097488473; y2.1060568997254223; r575.6339817749122; vx-0.6051837425542459; vy1.4430516964114943; vr12.83143475920133;
x14.211485935887076; y2.5835255140464; r579.3517253878723; vx-0.26440517523560203; vy0.63198153932324; vr3.8462185542289262;
x13.959554156623541; y2.9951108199350363; r583.3324411462414; vx-0.45205552185515074; vy0.4521513831921009; vr3.9425747601794683;
x13.6899477213715; y3.369710830013357; r586.9337543436769; vx-0.3316259059624187; vy0.4365112594375091; vr3.910456024862924;
x13.435564536034594; y3.726741419636349; r590.58926790696; vx-0.26842058803696744; vy0.3651945515919923; vr3.669565509984295;
x13.149392298804951; y4.016127486159106; r593.3354197765763; vx-0.2532028690828927; vy0.2477508839544913; vr2.5715062463292497;
x12.906709447271172; y4.315098313239713; r596.3525734754311; vx-0.29562712409414615; vy0.3778876520656631; vr4.263762113351731;
x12.484098660203964; y4.6715524562135995; r600.7448105300514; vx-0.5909744049740961; vy0.4712696378638137; vr5.741223937940845;
x12.120700911854884; y4.99121370875435; r604.8198750734148; vx-0.6013917954245827; vy0.5970089177444784; vr6.27519791258851;
x11.67912764234148; y5.268926673982812; r608.2365055427764; vx-0.6013415097239658; vy0.33682952336095084; vr4.022871598472648;
x11.229330573311838; y5.536510160699216; r612.2674068250786; vx-0.5339916077058078; vy0.2971453086080018; vr3.942574760179923;
x10.743434501988386; y5.746299401728947; r616.4287904696067; vx-0.7294749674797245; vy0.010432422018553211; vr4.344058951644001;
x10.34286916207144; y5.929085288862814; r620.4054913860614; vx-0.6169017278002897; vy0.29652804568905466; vr4.303910532498321;
x9.98248819789267; y6.050627842415309; r623.4929048184224; vx-0.35427316832006284; vy0.1090247189923943; vr4.038930966131829;
x9.563948738511172; y6.169231733894892; r626.9015056039549; vx-0.5750207020081533; vy0.12789600860893202; vr4.223613694205142;
x9.053260139333824; y6.27730338707084; r630.3924106487376; vx-0.7413488255605039; vy0.1920402251529163; vr6.142708129405037;
x8.519998569839224; y6.359816791011093; r635.6899945551099; vx-1.4839717157752883; vy0.12269648383501952; vr11.944154696065084;
x7.886390677083496; y6.369473989512821; r640.2267659186574; vx-0.4786734533526449; vy0.029419059004368364; vr4.536771363547814;
x7.404483157787882; y6.368538032261163; r643.3462980863354; vx-0.7786835982431306; vy-0.011118902074671588; vr5.480259213488239;
x7.05477484130212; y6.341728980582025; r646.5581716180504; vx-0.3529321692406704; vy-0.012018268498160012; vr3.910456024863379;
x6.5541894804835295; y6.269105456861547; r650.4284792237669; vx-0.6066959941274952; vy-0.1600255205563883; vr3.95863412783865;
x6.209556101346486; y6.207052717417647; r653.4416180807069; vx-0.3069394535116281; vy-0.06579285739768892; vr3.990752863155649;
x5.757614284874566; y6.10059171489589; r656.5972838256168; vx-0.6344869919807934; vy-0.1586307426600797; vr3.8301591865701994;
x5.385377960336125; y5.994036777320483; r659.5883410520263; vx-0.2969697321184501; vy-0.11625642161905869; vr2.8665971270554564;
x4.983336415780765; y5.917537028075994; r663.6332942810299; vx-0.7849312480464246; vy0.2170908336227182; vr7.323071652309864;
x4.634204792913562; y5.680610623425324; r665.9920139058829; vx-0.7386926684117556; vy-0.204432883152732; vr5.44011079434199;
x4.29576163300934; y5.4981785989073675; r669.3122881692932; vx-0.42682563500109083; vy-0.29246273893206975; vr4.103168436765827;
x3.8990517349324327; y5.246496939002624; r672.3997016016542; vx-0.5088087042055722; vy-0.2770059401827858; vr3.934545076350787;
x3.5928274638929967; y5.074535702019306; r675.473063087314; vx-0.2878614168587248; vy-0.15517269258774036; vr3.7578920321066107;
x3.127769235721962; y4.730496880122197; r679.77095135694; vx-0.7313862351215228; vy-0.4687257472019013; vr5.992151557605325;
x2.731395965023168; y4.393245988479938; r683.900216266151; vx-0.7937474848955883; vy-0.7096077053270866; vr6.935639407547001;
x2.408681377851788; y4.038228984522538; r687.2345424762626; vx-0.41681927796864926; vy-0.4966581129825194; vr4.2396730618638685;
x2.176914221140034; y3.7917527692025224; r690.3319930134103; vx-0.2202032703202903; vy-0.22393368369743882; vr4.0148419146439664;
x1.5523993891272907; y3.0633438359396306; r697.4944709891347; vx-0.6622085564269531; vy-0.6943653328327759; vr6.534155216082809;
x1.3747565379368445; y2.7086888654232943; r700.0619623935493; vx-0.21336512786605955; vy-0.40794209892477973; vr3.902426341033788;
x1.156116793933027; y2.3348331151457784; r703.2738359252643; vx-0.23739790652994142; vy-0.4421336829966336; vr4.111198120594963;
x0.9597376365329126; y1.8673391916503514; r707.401093413518; vx-0.1794380548040153; vy-0.5598059957812485; vr3.934545076350787;
x0.7744602383059552; y1.4670272763803411; r711.3657498042286; vx-0.21092342963634048; vy-0.43799602124703796; vr4.20755432654687;
x0.6348207306935285; y1.007459967353737; r714.461192920419; vx-0.13883053867115125; vy-0.619758752276093; vr4.087109069107555;
x0.5470991362701025; y0.6218782119091893; r717.6228809282007; vx-0.14189757734887642; vy-0.443786154198496; vr4.03893096613092;
x0.42662519643232855; y-0.06572150599649992; r723.0890881949881; vx-0.06655317338429634; vy-0.539160883172272; vr4.1111981205945085;
x0.36152452803562796; y-0.5389458175652706; r727.1561230545223; vx-0.09094151956499053; vy-0.5300850079645796; vr3.830159186570654;
x0.3560729688908587; y-1.0122595636779421; r730.4061375844263; vx0.031893655309876534; vy-0.521690220926815; vr4.04696064996142;
x0.3657163271912065; y-1.4678830387512982; r734.5052911792777; vx-0.042699586595489336; vy-0.4561827508553229; vr4.21558401037646;
x0.4183082500991256; y-1.9471976143874798; r737.8576841780051; vx0.05760298864001201; vy-0.5437987666641844; vr4.2396730618638685;
x0.4912095096255576; y-2.3608108994059545; r741.4931235317149; vx0.06364997964565244; vy-0.8150038526260328; vr6.544192320869229;
x0.6003453352290355; y-2.921605148970721; r745.4858838158282; vx0.19888766356180998; vy-0.6161941721348985; vr4.6813056724745365;
x0.6800803390212435; y-3.4466483158835146; r750.2836199038273; vx-0.07845831425044847; vy-1.050097020706212; vr8.443212546495488;
x0.8923516682575354; y-3.7682543011057583; r752.6945324735709; vx0.06883759590853211; vy-0.2856847247661012; vr4.207554326546415;
x1.0423368866311555; y-4.184869844147309; r756.193467202183; vx0.3660753695164487; vy-0.8326824499514807; vr5.9319289288862365;
x1.3275069381134228; y-4.6836578549403844; r760.2283833264; vx0.3945782327396179; vy-0.8090611669776102; vr7.323071652310318;
x1.5573052439177377; y-5.065043173232139; r764.3054552907206; vx0.2517140427229636; vy-0.5068816097738384; vr4.311940216327912;
x1.838094744122785; y-5.436357453269942; r767.5936108188137; vx0.20818762974178906; vy-0.30422822942607297; vr4.0710497014483735;
x2.2229557311833386; y-5.85851251654112; r771.7288979908967; vx0.45162132675587685; vy-0.5005487419978749; vr3.8703076057163344;
x2.531988787654531; y-6.203717854256978; r775.7738512199003; vx0.20051226973647918; vy-0.26890884147565686; vr4.9884410789451294;
x2.907463403057046; y-6.548598381731319; r779.477542886159; vx0.8692316682608059; vy-0.7888596317977514; vr7.467605961237496;
x3.2029560928844223; y-6.80914401919989; r782.6733570502154; vx0.3488074934115186; vy-0.2581106021444768; vr3.974693495496922;
x3.5396643123953657; y-7.042908889474532; r785.702555274814; vx0.5170618762880537; vy-0.303673905004608; vr3.966663811667786;
x3.890526795172385; y-7.279330216190563; r788.8883323340839; vx0.38906627067664346; vy-0.3059753636298943; vr4.054990333790101;
x4.326760418752567; y-7.535244772680963; r793.3648810689115; vx0.41149546788398084; vy-0.2019803628783201; vr4.3601183193022734;
