x26.389269340611854; y42.180545371922015; r-84.08486187845313; vx0.8102160302184416; vy0.0723601744219593; vr-1.0024309392265423;
x27.142513955882563; y42.23515253353083; r-85.07535911602218; vx1.8206782996991464; vy0.009710970431157762; vr-2.2196685082872705;
x27.603205234795805; y42.326396707865264; r-85.74364640883988; vx0.8223583493622328; vy0.08029316253305296; vr-1.0979005524861805;
x28.57880345249933; y42.40737341452751; r-87.08022099447521; vx4.396537912109011; vy0.34939313364233726; vr-6.4441988950274265;
x29.062232065757772; y42.45319295392557; r-87.77237569060783; vx1.1105080757773678; vy0.08695796609501372; vr-1.5513812154696183;
x29.57803412060017; y42.475622328777135; r-88.50033149171279; vx0.627898460718967; vy0.01879436371567067; vr-0.8592265193370281;
x30.041663394488047; y42.47844810313665; r-89.14475138121554; vx0.606859950305477; vy-0.0038736318579708495; vr-0.8114917127071521;
x30.533287805422137; y42.48015357947103; r-89.80110497237577; vx0.8046104187879877; vy0.006480138973699923; vr-1.0501657458563614;
x30.88610921004124; y42.51439163462317; r-90.26651933701665; vx0.38734432087625237; vy0.04432471922660852; vr-0.5250828729281807;
x31.21141573407342; y42.57228494464648; r-90.72000000000007; vx0.26307768225503025; vy0.05745447277459448; vr-0.3818784530386665;
x31.465498997285756; y42.655040467850206; r-91.11381215469622; vx0.05193446485530728; vy0.014083537769550958; vr-0.047734806629819104;
x31.247667292569076; y42.801690416518554; r-90.70806629834264; vx-0.04298597672715232; vy5.491608097258904E-4; vr0.09546961325963821;
x30.975303099151873; y42.785275964963475; r-90.3381215469614; vx-0.09119596493443183; vy0.03827603881692454; vr0.11933701657461881;
x31.130070212561588; y43.04799232553094; r-90.57679558011058; vx0.02312899372320487; vy0.16565612432410148; vr-0.047734806629819104;
x31.206907553974567; y43.386482584147004; r-90.67226519337025; vx0.045375801123427095; vy0.21061502031861323; vr-0.09546961325963821;
x31.19505012592033; y43.76740776190389; r-90.63646408839789; vx0.030770537313262736; vy0.35782742382505006; vr-0.059668508287344935;
x31.220948928186314; y44.15921052272775; r-90.68419889502772; vx0.06068482421627053; vy0.6025264296249233; vr-0.11933701657461881;
x31.232701804558904; y44.51346820577218; r-90.68419889502772; vx0.0255626307476291; vy0.34655575803850525; vr-0.04773480662987595;
x31.24477558126976; y44.897885062990085; r-90.68419889502772; vx0.04205527675625831; vy0.28226933508253893; vr-0.03580110497240696;
x31.27302466276914; y45.27833161616016; r-90.7200000000001; vx0.04251116998164761; vy0.3048607417391409; vr-0.03580110497236433;
x31.300281149267683; y45.72286808235978; r-90.76773480662992; vx0.021639492857424614; vy0.4182110840306592; vr-0.035801104972321696;
x31.295347961035272; y46.160282023455714; r-90.743867403315; vx-0.011494924309495502; vy0.35078388699139396; vr0.03580110497236433;
x31.307266776267586; y46.66156995135875; r-90.75580110497245; vx0.008354350568865243; vy0.6332899761358135; vr1.1368683772161603E-13;
x31.319359952878415; y47.162860029631275; r-90.76773480662992; vx-0.026926500706938583; vy0.38493968600800343; vr0.07160220994472866;
x31.32557573774288; y47.63028880682047; r-90.76773480662993; vx0.00646571697822651; vy0.48250531225539817; vr-5.6843418860808015E-14;
x31.37252028160037; y48.1499417905854; r-90.83933701657467; vx0.029113969940198103; vy0.5274221414710212; vr-0.04773480662976226;
x31.39283060899314; y48.65109622587682; r-90.85127071823214; vx0.007617265820371699; vy0.5126513333495666; vr0.0;
